Date,Time,Amplitude(DB),Peak(DB)
24-12-2017,10:00,63
24-12-2017,10:00,74
24-12-2017,10:00,45
24-12-2017,10:00,70
24-12-2017,10:00,64
24-12-2017,10:00,66
24-12-2017,10:01,72
24-12-2017,10:01,47
24-12-2017,10:01,60
24-12-2017,10:01,52
24-12-2017,10:01,41
24-12-2017,10:01,64
24-12-2017,10:02,44
24-12-2017,10:02,65
24-12-2017,10:02,45
24-12-2017,10:02,47
24-12-2017,10:02,72
24-12-2017,10:02,59
24-12-2017,10:03,47
24-12-2017,10:03,56
24-12-2017,10:03,71
24-12-2017,10:03,65
24-12-2017,10:03,54
24-12-2017,10:03,65
24-12-2017,14:30,68,97
24-12-2017,14:31,65,91
24-12-2017,14:32,62,85
24-12-2017,14:33,55,71
24-12-2017,14:34,55,67
24-12-2017,14:35,50,52
24-12-2017,14:36,48,55
24-12-2017,14:37,50,60
24-12-2017,14:38,53,66
24-12-2017,14:39,55,71
24-12-2017,14:40,59,78
24-12-2017,14:41,61,82
24-12-2017,14:42,62,84
24-12-2017,14:43,62,84
24-12-2017,14:44,66,93
24-12-2017,14:45,43,51
24-12-2017,14:46,71,102
24-12-2017,14:47,71,103
24-12-2017,14:48,76,112
24-12-2017,14:49,78,117
24-12-2017,14:50,80,124
24-12-2017,14:51,79,118
24-12-2017,14:52,75,110
24-12-2017,14:53,74,109
24-12-2017,14:54,70,100
24-12-2017,14:55,68,96
24-12-2017,14:56,64,89
24-12-2017,14:57,60,81
24-12-2017,14:58,57,75
24-12-2017,14:59,58,76
24-12-2017,14:50,78,123
24-12-2017,14:51,79,118
24-12-2017,14:52,75,110
24-12-2017,14:53,74,109
24-12-2017,14:54,70,100
24-12-2017,14:55,68,96
24-12-2017,14:56,64,89
24-12-2017,14:57,60,81
24-12-2017,14:58,57,75
24-12-2017,14:59,58,76
